trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
0,1,10,29.142447123369475,32.38049680374386,50.0,"['299354', '192312', '159900', '541219', '447938', '330074', '449778', '537424', '538937', '115209']"
0,2,7,28.8977643070828,32.10862700786978,50.0,"['494663', '341670', '55949', '200098', '316619', '524496', '451978']"
0,3,9,32.97054055481502,36.63393394979446,50.0,"['118013', '21295', '201834', '69842', '488510', '180949', '432616', '452846', '391969']"
0,4,10,31.541402889612495,35.04600321068055,50.0,"['374743', '304201', '362268', '419752', '104562', '152266', '174597', '43092', '371047', '49829']"
0,5,7,24.422374399606117,27.135971555117905,50.0,"['356235', '18626', '330258', '284645', '250934', '303622', '188487']"
0,6,11,32.91556362157957,36.572848468421746,50.0,"['461295', '456950', '294527', '520487', '465182', '175687', '482358', '513516', '388148', '543373', '467636']"
0,7,2,13.216616683371793,14.68512964819088,25.0,"['69737', '298162']"
0,8,10,25.1067007393001,27.896334154777886,50.0,"['213027', '423568', '78581', '535774', '92339', '67168', '77324', '149516', '184427', '179644']"
0,9,7,21.344191165533427,23.715767961703808,25.0,"['543450', '239992', '257435', '520838', '383204', '20621', '452422']"
0,10,10,39.553519912342686,43.94835545815854,50.0,"['486178', '66449', '137501', '420064', '519534', '530550', '262350', '338070', '410593', '401975']"
0,11,3,12.421124898877888,13.801249887642097,25.0,"['69868', '493708', '136784']"
0,12,1,4.387700604697871,4.875222894108745,25.0,['72989']
0,13,11,29.067708129615514,32.29745347735057,50.0,"['96862', '81741', '144651', '229481', '492245', '369049', '487999', '187566', '361089', '392777', '330646']"
0,14,1,2.4715900981950774,2.7462112202167526,25.0,['175523']
0,15,10,28.72581496397707,31.917572182196743,50.0,"['531662', '395429', '343990', '161861', '93799', '259004', '392995', '122651', '316051', '215583']"
0,16,5,16.208194989095965,18.00910554343996,25.0,"['469041', '372892', '343064', '25615', '284247']"
0,17,3,14.201994409604495,15.779993788449438,25.0,"['174570', '201819', '274702']"
0,18,7,19.429520314520655,21.58835590502295,25.0,"['381381', '91397', '383693', '531771', '396629', '225070', '526365']"
0,19,2,7.540672338417596,8.378524820463996,25.0,"['541265', '223077']"
0,20,10,21.34148034582673,23.71275593980748,25.0,"['513336', '429888', '397555', '199016', '372499', '521269', '346823', '142507', '254810', '454770']"
0,21,2,11.19830133380307,12.442557037558966,25.0,"['502985', '451476']"
0,22,10,26.23668157674153,29.151868418601698,50.0,"['491749', '498854', '284091', '505847', '35191', '186366', '483016', '272937', '364878', '329260']"
0,23,11,28.88272773517604,32.09191970575115,50.0,"['201687', '44812', '40436', '476573', '486285', '487709', '33973', '190006', '168910', '325008', '450692']"
