trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva
0,1,3,12.414617396132893,13.794019329036548,25.0
0,2,7,23.88413278259762,26.537925313997356,50.0
0,3,11,27.70902964400306,30.787810715558955,50.0
0,4,4,16.507264098145342,18.341404553494822,25.0
0,5,2,9.924424513155769,11.027138347950855,25.0
1,1,7,18.2843800202037,20.31597780022633,25.0
1,2,8,25.581416400823883,28.423796000915424,50.0
1,3,1,8.059236669316833,8.954707410352038,25.0
1,4,5,20.23198762531336,22.479986250348176,25.0
1,5,6,20.004147561085123,22.226830623427915,25.0
2,1,7,18.610833670810827,20.678704078678695,25.0
2,2,8,22.57863268767007,25.087369652966743,50.0
2,3,10,38.266246484609276,42.51805164956586,50.0
2,4,2,5.379755691765314,5.977506324183682,25.0
3,1,6,29.65771013846365,32.953011264959606,50.0
3,2,3,20.21009089874853,22.45565655416503,25.0
3,3,4,16.948760329616984,18.83195592179665,25.0
3,4,7,23.55021057708505,26.16690064120561,50.0
3,5,1,4.644366459942978,5.160407177714419,25.0
3,6,6,22.708333830708433,25.231482034120482,50.0
4,1,12,32.83788923798916,36.48654359776573,50.0
4,2,4,17.903135255974707,19.892372506638562,25.0
4,3,3,13.131602807630202,14.590669786255779,25.0
4,4,8,27.515786811213275,30.573096456903638,50.0
5,1,9,27.478938560624478,30.53215395624942,50.0
5,2,5,23.032531226837627,25.591701363152918,50.0
5,3,9,21.495764677561603,23.88418297506845,25.0
5,4,4,11.541016992073034,12.823352213414482,25.0
6,1,4,23.63240404112147,26.25822671235719,50.0
6,2,3,18.85019529068405,20.944661434093387,25.0
6,3,6,22.42458363385658,24.916204037618424,25.0
6,4,3,22.246640066119877,24.71848896235542,25.0
6,5,3,13.696993546556143,15.218881718395714,25.0
6,6,8,24.084659807341303,26.760733119268114,50.0
7,1,1,3.238815416289672,3.598683795877413,25.0
7,2,4,15.925005470828705,17.694450523143004,25.0
7,3,5,12.857364501826718,14.285960557585241,25.0
7,4,1,4.556761550592948,5.06306838954772,25.0
7,5,9,24.12609558202221,26.806772868913566,50.0
7,6,2,7.804066596865548,8.671185107628386,25.0
7,7,4,19.85131319212151,22.057014657912788,25.0
7,8,1,8.123042054188678,9.025602282431864,25.0
8,1,4,15.439670350463139,17.155189278292376,25.0
8,2,11,27.52377880226627,30.58197644696252,50.0
8,3,6,30.21660008854534,33.57400009838371,50.0
8,4,6,21.33898166307243,23.709979625636034,25.0
9,1,6,23.373375578066845,25.97041730896316,50.0
9,2,12,30.137904765437792,33.486560850486434,50.0
9,3,6,24.87228219818047,27.635869109089413,50.0
9,4,3,13.024522257266964,14.471691396963294,25.0
10,1,5,22.16766013014874,24.630733477943043,25.0
10,2,5,23.248670524125572,25.831856137917303,50.0
10,3,1,12.474998261950798,13.86110917994533,25.0
10,4,7,20.715693171996293,23.017436857773657,25.0
10,5,7,19.332432701889168,21.480480779876853,25.0
10,6,2,15.252763458019011,16.947514953354457,25.0
11,1,3,17.868916007706552,19.854351119673947,25.0
11,2,12,30.75853899963327,34.17615444403697,50.0
11,3,1,5.292808027644466,5.8808978084938515,25.0
11,4,11,32.46747372692253,36.0749708076917,50.0
12,1,12,30.195851163079507,33.550945736755004,50.0
12,2,11,35.94186759774206,39.93540844193562,50.0
12,3,4,12.57627330465543,13.9736370051727,25.0
13,1,12,34.35255149278559,38.16950165865065,50.0
13,2,2,12.311632959040793,13.679592176711992,25.0
13,3,5,13.3927564560899,14.880840506766555,25.0
13,4,8,25.77675846892154,28.640842743246154,50.0
14,1,9,26.1127340848683,29.014148983187,50.0
14,2,2,6.060436492201602,6.733818324668447,25.0
14,3,10,28.45915887152977,31.621287635033077,50.0
14,4,6,22.32979232232956,24.810880358143955,25.0
15,1,5,19.568331991434277,21.742591101593643,25.0
15,2,1,5.90769958499191,6.564110649991011,25.0
15,3,12,35.100985722363994,39.001095247071106,50.0
15,4,9,33.30236518802799,37.00262798669777,50.0
16,1,7,21.409763290665392,23.788625878517102,25.0
16,2,10,31.62999393453299,35.14443770503666,50.0
16,3,8,23.756784944640266,26.396427716266963,50.0
16,4,2,7.5368161381887075,8.374240153543008,25.0
17,1,7,31.12644276460808,34.58493640512009,50.0
17,2,11,32.77100190419601,36.41222433799557,50.0
17,3,7,32.45924230629192,36.0658247847688,50.0
17,4,2,17.339926334837273,19.266584816485857,25.0
18,1,7,21.332139264625113,23.70237696069457,25.0
18,2,1,1.4189104653649858,1.576567183738873,25.0
18,3,12,33.261525973167224,36.95725108129692,50.0
18,4,5,21.035479522149817,23.372755024610907,25.0
18,5,1,2.642465360789043,2.9360726230989367,25.0
18,6,1,11.438602615864118,12.709558462071243,25.0
19,1,7,17.418370529409604,19.353745032677338,25.0
19,2,12,28.605782237971297,31.784202486634776,50.0
19,3,7,18.676893483484093,20.75210387053788,25.0
19,4,1,5.264425048948256,5.849361165498062,25.0
