trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
0,1,3,15.642275390406574,17.380305989340638,25.0,"['391944', '486098', '53693']"
0,2,7,31.31073554016932,34.78970615574369,50.0,"['223077', '100023', '454310', '196926', '115968', '432616', '453474']"
0,3,11,30.705691149548706,34.11743461060967,50.0,"['170825', '222350', '215656', '451461', '27287', '130380', '414301', '59912', '69868', '161861', '202088']"
0,4,4,11.631697719374824,12.924108577083137,25.0,"['57486', '408279', '125128', '201834']"
0,5,2,11.798405700127208,13.109339666808008,25.0,"['341616', '35932']"
1,1,7,21.733410579645643,24.148233977384045,25.0,"['359627', '438056', '461107', '410593', '337614', '173392', '404444']"
1,2,8,28.795046329430697,31.994495921589664,50.0,"['81741', '141350', '69842', '446024', '264018', '302815', '464315', '392777']"
1,3,1,4.281893646897579,4.757659607663977,25.0,['88759']
1,4,5,14.066949224119698,15.629943582355219,25.0,"['517144', '126795', '159349', '199016', '248997']"
1,5,6,23.427283513994215,26.030315015549128,50.0,"['226419', '472992', '241758', '343990', '232939', '186366']"
2,1,7,26.543016821364997,29.492240912627775,50.0,"['267735', '229481', '414301', '89529', '215656', '51960', '104562']"
2,2,8,22.507209824740297,25.008010916378108,50.0,"['317423', '40995', '349166', '487751', '470251', '543373', '274702', '236160']"
2,3,10,27.409870504733043,30.455411671925603,50.0,"['284293', '87191', '69626', '230501', '206494', '404444', '451476', '25615', '420064', '436458']"
2,4,2,5.755839164313144,6.395376849236827,25.0,"['541219', '125925']"
3,1,6,24.99175028519315,27.768611427992386,50.0,"['117120', '199016', '69626', '234094', '449778', '269943']"
3,2,3,20.001896284937636,22.224329205486264,25.0,"['193900', '236160', '315517']"
3,3,4,21.43092258440328,23.812136204892532,25.0,"['305045', '201819', '312335', '67009']"
3,4,7,19.707057402121208,21.896730446801342,25.0,"['169460', '489422', '303298', '27832', '272937', '261325', '339433']"
3,5,1,8.836616956670257,9.818463285189175,25.0,['222350']
3,6,6,15.236622420862089,16.929580467624543,25.0,"['184427', '498546', '269586', '309544', '320013', '523081']"
4,1,12,38.420885234156444,42.68987248239605,50.0,"['475046', '8083', '333827', '77868', '155532', '437412', '292090', '292117', '174570', '224398', '383204', '115968']"
4,2,4,19.221302564899936,21.35700284988882,25.0,"['320667', '32222', '163934', '81741']"
