trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,27,0.8,0.9,1,18,3,0,1,0,2,50.0,213.20496943696494
1,27,0.8,0.9,1,18,4,0,2,1,1,175.0,228.11968786985545
2,27,0.8,0.9,1,18,3,0,0,1,2,75.0,218.19773899850927
3,27,0.8,0.9,1,18,3,0,1,0,2,50.0,212.39798150266682
4,27,0.8,0.9,1,18,4,1,1,0,2,75.0,231.74368477537715
5,27,0.8,0.9,1,18,3,0,0,1,2,75.0,210.79677875472365
6,27,0.8,0.9,1,18,4,0,2,0,2,100.0,225.07521579154727
7,27,0.8,0.9,1,18,6,2,1,2,1,250.0,255.68653222467162
8,27,0.8,0.9,1,18,3,0,0,2,1,150.0,215.23017913532397
9,27,0.8,0.9,1,18,3,0,1,1,1,125.0,211.34079797036722
10,27,0.8,0.9,1,18,5,1,0,3,1,250.0,253.54995348923512
11,27,0.8,0.9,1,18,4,1,1,0,2,75.0,218.41813407749228
12,27,0.8,0.9,1,18,2,0,0,1,1,75.0,184.43479660011442
13,27,0.8,0.9,1,18,4,1,0,2,1,175.0,218.65972735595165
14,27,0.8,0.9,1,18,3,0,1,1,1,125.0,210.24467075782167
