trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,27,0.8,0.9,1,13,5,3,2,0,0,175.0,101.08880549962663
1,27,0.8,0.9,1,13,5,3,2,0,0,175.0,92.30458329408783
2,27,0.8,0.9,1,13,4,1,3,0,0,175.0,82.21593631515148
3,27,0.8,0.9,1,13,6,5,1,0,0,175.0,110.20486593418762
4,27,0.8,0.9,1,13,4,2,2,0,0,150.0,100.62664393168586
5,27,0.8,0.9,1,13,4,2,2,0,0,150.0,90.062150423615
6,27,0.8,0.9,1,13,6,5,1,0,0,175.0,105.115382601011
7,27,0.8,0.9,1,13,8,5,3,0,0,275.0,133.3303664180124
8,27,0.8,0.9,1,13,4,2,2,0,0,150.0,92.47554825301206
9,27,0.8,0.9,1,13,4,3,1,0,0,125.0,82.03727081847393
10,27,0.8,0.9,1,13,6,6,0,0,0,150.0,89.98374050787521
11,27,0.8,0.9,1,13,4,2,2,0,0,150.0,86.38456559852823
12,27,0.8,0.9,1,13,3,1,2,0,0,125.0,90.3537201295681
13,27,0.8,0.9,1,13,4,2,2,0,0,150.0,89.57252077779275
14,27,0.8,0.9,1,13,4,2,2,0,0,150.0,78.79275672534948
15,27,0.8,0.9,1,13,4,2,2,0,0,150.0,78.18521357256094
16,27,0.8,0.9,1,13,4,1,3,0,0,175.0,82.19695406697917
17,27,0.8,0.9,1,13,4,2,2,0,0,150.0,76.38929149004969
18,27,0.8,0.9,1,13,6,5,1,0,0,175.0,76.01651910854221
19,27,0.8,0.9,1,13,4,2,2,0,0,150.0,94.03783907640158
