trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
0,1,3,17.929007460744458,19.921119400827177,25.0,"['31382', '329260', '242598']"
0,2,7,20.478317427439315,22.753686030488126,25.0,"['498546', '545696', '155532', '338070', '50580', '69626', '176608']"
0,3,11,27.65373263508979,30.72636959454421,50.0,"['465186', '392995', '327131', '485700', '335542', '427800']"
0,4,4,11.754837535476831,13.060930594974256,25.0,"['335542', '427800']"
0,5,2,9.198698220192359,10.220775800213731,25.0,[]
1,1,7,22.38432913919226,24.871476821324734,25.0,"['241331', '212021', '527237', '139272', '3612', '52377', '69868']"
1,2,8,23.28203841189967,25.86893156877741,50.0,"['372892', '482358', '453474', '420064', '107460', '343474', '26402', '302815']"
1,3,1,9.949393571238385,11.054881745820428,25.0,['482358']
1,4,5,23.15660078483479,25.72955642759421,50.0,"['26402', '302815', '367483', '197532', '114941']"
1,5,6,15.59787929853531,17.330976998372567,25.0,[]
2,1,7,21.797212324175177,24.219124804639087,25.0,"['327612', '201928', '391944', '499731', '203389', '136477', '33973']"
2,2,8,27.852868057052692,30.94763117450299,50.0,"['506224', '414177', '417306', '498546', '482395', '432616', '485700', '99499']"
2,3,10,31.83731485056306,35.3747942784034,50.0,"['464315', '223077']"
2,4,2,11.060003937181078,12.288893263534531,25.0,[]
3,1,6,15.719219950935187,17.465799945483543,25.0,"['40454', '139404', '513516', '149516', '544772', '510593']"
3,2,3,19.23342720514535,21.370474672383722,25.0,"['149516', '544772', '510593']"
3,3,4,10.35373013919803,11.50414459910892,25.0,"['162004', '186924', '381418', '47959']"
3,4,7,29.183351657387572,32.42594628598619,50.0,"['361089', '27287', '454230', '503022', '327131', '96010', '229548']"
3,5,1,9.360173491324868,10.400192768138742,25.0,['27287']
3,6,6,18.19159843238742,20.21288714709713,25.0,[]
4,1,12,37.83268939533899,42.036321550376655,50.0,"['330074', '199016', '388148', '267376', '8083', '202555', '262816', '333827', '282048', '343474', '287709', '6545']"
4,2,4,12.67790860187974,14.08656511319971,25.0,"['8083', '202555', '262816', '333827']"
4,3,3,20.42607892037277,22.695643244858633,25.0,"['333827', '282048', '343474']"
4,4,8,22.58377998408915,25.093088871210167,50.0,[]
5,1,9,26.5111531486875,29.456836831875002,50.0,"['217704', '414301', '277908', '248221', '465182', '369055', '436458', '341963', '247213']"
5,2,5,20.190203012510874,22.43355890278986,25.0,"['369055', '436458', '341963', '247213', '326187']"
5,3,9,26.298144888006583,29.22016098667398,50.0,"['155119', '241959', '233753', '544508']"
5,4,4,12.305401828680198,13.672668698533553,25.0,[]
6,1,4,26.749330641913232,29.7214784910147,50.0,"['120305', '99499', '49829', '127663']"
6,2,3,13.738086345698644,15.264540384109605,25.0,"['127663', '39960', '43092']"
6,3,6,21.384849766697936,23.76094418521993,25.0,"['392995', '180949', '170825', '334183', '141350', '139404']"
6,4,3,14.439286880372116,16.043652089302352,25.0,"['334183', '141350', '139404']"
6,5,3,13.164693311371597,14.627437012635108,25.0,"['411339', '513516', '117120']"
6,6,8,30.39265265452,33.76961406057777,50.0,[]
7,1,1,12.19253703927787,13.54726337697541,25.0,['381122']
7,2,4,14.382495045629987,15.980550050699986,25.0,"['436427', '389848', '186924', '534341']"
7,3,5,30.49018210512737,33.87798011680819,50.0,"['238210', '267170', '233532', '168910', '267376']"
7,4,1,7.904590948528423,8.782878831698246,25.0,['267170']
7,5,9,26.04030182422445,28.93366869358272,50.0,"['13050', '301874', '321516', '183875', '57486', '117120', '254810']"
7,6,2,7.769493161127331,8.632770179030368,25.0,"['321516', '183875']"
7,7,4,7.452393031735415,8.280436701928238,25.0,['254810']
7,8,1,4.566443337838391,5.073825930931545,25.0,[]
