trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,27,0.8,0.9,1,13,5,4,1,0,0,150.0,87.01459327894274
1,27,0.8,0.9,1,13,5,3,2,0,0,175.0,94.37024120570041
2,27,0.8,0.9,1,13,4,2,2,0,0,150.0,92.547399168972
3,27,0.8,0.9,1,13,6,5,1,0,0,175.0,102.04150087637844
4,27,0.8,0.9,1,13,4,2,2,0,0,150.0,93.52045690168065
5,27,0.8,0.9,1,13,4,2,2,0,0,150.0,85.30490287788516
6,27,0.8,0.9,1,13,6,4,2,0,0,200.0,119.86889960057351
7,27,0.8,0.9,1,13,8,6,2,0,0,250.0,110.79843649348925
8,27,0.8,0.9,1,13,4,2,2,0,0,150.0,75.14401855773384
9,27,0.8,0.9,1,13,4,1,3,0,0,175.0,100.17418114420738
10,27,0.8,0.9,1,13,6,3,3,0,0,225.0,105.02627917102075
11,27,0.8,0.9,1,13,4,2,2,0,0,150.0,89.6159713754099
12,27,0.8,0.9,1,13,3,1,2,0,0,125.0,83.546074508812
13,27,0.8,0.9,1,13,4,2,2,0,0,150.0,95.72119813815729
14,27,0.8,0.9,1,13,4,3,1,0,0,125.0,77.1889868538188
15,27,0.8,0.9,1,13,4,2,2,0,0,150.0,96.40771362506173
16,27,0.8,0.9,1,13,4,1,3,0,0,175.0,91.29910704751832
17,27,0.8,0.9,1,13,4,2,2,0,0,150.0,97.26440354793334
18,27,0.8,0.9,1,13,6,5,1,0,0,175.0,92.10323322262275
19,27,0.8,0.9,1,13,4,3,1,0,0,125.0,77.68519001278764
