trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,762,0.8,0.9,1,13,109,52,57,0,0,4150.0,2529.90112257601
1,762,0.8,0.9,1,13,118,63,55,0,0,4325.0,2552.6574911049624
2,762,0.8,0.9,1,13,107,51,54,2,0,4125.0,2468.872439072952
3,762,0.8,0.9,1,13,124,81,41,2,0,4225.0,2581.4463244941257
4,762,0.8,0.9,1,13,114,54,59,1,0,4375.0,2506.8391496566946
5,762,0.8,0.9,1,13,117,66,50,1,0,4225.0,2560.3386948617754
6,762,0.8,0.9,1,13,112,53,59,0,0,4275.0,2507.192465183834
7,762,0.8,0.9,1,13,118,63,54,1,0,4350.0,2494.583598324138
8,762,0.8,0.9,1,13,108,51,54,3,0,4200.0,2456.6196747184276
9,762,0.8,0.9,1,13,105,46,59,0,0,4100.0,2431.561275988961
10,762,0.8,0.9,1,13,115,60,54,1,0,4275.0,2476.631648363402
11,762,0.8,0.9,1,13,110,49,59,2,0,4325.0,2489.388152303383
12,762,0.8,0.9,1,13,105,44,61,0,0,4150.0,2408.686161921939
13,762,0.8,0.9,1,13,108,53,54,1,0,4100.0,2497.770533898207
14,762,0.8,0.9,1,13,101,50,50,1,0,3825.0,2398.2796298022554
15,762,0.8,0.9,1,13,103,42,60,1,0,4125.0,2354.290992572532
16,762,0.8,0.9,1,13,111,53,57,1,0,4250.0,2533.243501197118
17,762,0.8,0.9,1,13,110,57,53,0,0,4075.0,2488.9317755302427
18,762,0.8,0.9,1,13,108,52,56,0,0,4100.0,2472.358829200312
19,762,0.8,0.9,1,13,119,63,55,1,0,4400.0,2526.4136287979954
